ticker,date,adj_close,ret
OXY,2025-04-14,37.0966,0.006106
OXY,2025-04-15,36.9987,-0.002638
OXY,2025-04-16,37.6349,0.017196
OXY,2025-04-17,38.8682,0.032770
OXY,2025-04-21,38.1928,-0.017376
OXY,2025-04-22,39.1227,0.024346
OXY,2025-04-23,38.9857,-0.003503
OXY,2025-04-24,39.5142,0.013558
OXY,2025-04-25,39.5044,-0.000248
OXY,2025-04-28,39.6512,0.003717
OXY,2025-04-29,39.4946,-0.003950
OXY,2025-04-30,38.5746,-0.023296
OXY,2025-05-01,39.5827,0.026135
OXY,2025-05-02,39.7491,0.004204
OXY,2025-05-05,37.9873,-0.044324
OXY,2025-05-06,38.4473,0.012110
OXY,2025-05-07,38.1830,-0.006874
OXY,2025-05-08,40.5615,0.062292
OXY,2025-05-09,41.2663,0.017375
OXY,2025-05-12,42.9302,0.040323
OXY,2025-05-13,43.4490,0.012084
OXY,2025-05-14,42.8911,-0.012841
OXY,2025-05-15,42.4506,-0.010269
OXY,2025-05-16,42.1276,-0.007609
OXY,2025-05-19,41.4131,-0.016961
OXY,2025-05-20,41.0118,-0.009690
OXY,2025-05-21,40.2581,-0.018377
OXY,2025-05-22,40.2092,-0.001216
OXY,2025-05-23,40.4147,0.005112
OXY,2025-05-27,40.7377,0.007992
OXY,2025-05-28,40.2483,-0.012014
OXY,2025-05-29,40.5811,0.008268
OXY,2025-05-30,39.9155,-0.016401
OXY,2025-06-02,40.5615,0.016184
OXY,2025-06-03,41.7850,0.030164
OXY,2025-06-04,41.0216,-0.018271
OXY,2025-06-05,40.9335,-0.002147
OXY,2025-06-06,41.6382,0.017216
OXY,2025-06-09,42.3234,0.016455
OXY,2025-06-10,43.2191,0.021163
OXY,2025-06-11,44.1344,0.021180
OXY,2025-06-12,44.0557,-0.001784
OXY,2025-06-13,45.7191,0.037757
OXY,2025-06-16,44.6167,-0.024112
OXY,2025-06-17,45.2565,0.014339
OXY,2025-06-18,44.6364,-0.013702
